iter	Passed	Remaining
0	141	141572
1	147	73572
2	149	49757
3	164	40845
4	173	34460
5	176	29312
6	178	25390
7	189	23541
8	192	21244
9	204	20286
10	206	18604
11	213	17577
12	218	16563
13	235	16555
14	247	16235
15	249	15365
16	254	14738
17	260	14237
18	263	13601
19	265	12988
20	271	12665
21	275	12257
22	277	11799
23	281	11431
24	288	11269
25	292	10953
26	294	10599
27	305	10619
28	336	11282
29	341	11030
30	346	10817
31	361	10929
32	363	10658
33	369	10499
34	371	10248
35	378	10147
36	382	9965
37	384	9738
38	386	9515
39	387	9301
40	400	9371
41	412	9402
42	416	9260
43	420	9128
44	423	8982
45	425	8825
46	441	8950
47	454	9011
48	457	8877
49	466	8859
50	469	8742
51	471	8594
52	472	8446
53	478	8377
54	481	8275
55	483	8148
56	485	8037
57	487	7919
58	493	7866
59	497	7786
60	498	7674
61	500	7566
62	501	7463
63	512	7501
64	514	7406
65	516	7309
66	517	7212
67	519	7118
68	528	7135
69	530	7048
70	531	6960
71	533	6875
72	535	6796
73	544	6809
74	546	6740
75	548	6674
76	550	6598
77	555	6563
78	558	6505
79	560	6444
80	562	6383
81	564	6325
82	567	6267
83	569	6213
84	571	6147
85	572	6084
86	573	6022
87	578	5999
88	581	5953
89	583	5901
90	584	5843
91	586	5787
92	588	5734
93	589	5680
94	595	5675
95	599	5643
96	601	5596
97	603	5550
98	604	5501
99	609	5489
100	612	5450
101	613	5402
102	615	5356
103	616	5310
104	617	5267
105	619	5224
106	622	5194
107	624	5156
108	625	5115
109	627	5074
110	628	5034
111	630	4999
112	634	4984
113	638	4962
114	640	4928
115	642	4892
116	643	4855
117	645	4822
118	646	4786
119	651	4779
120	654	4754
121	655	4717
122	656	4683
123	658	4649
124	659	4618
125	661	4589
126	666	4580
127	668	4553
128	670	4526
129	671	4495
130	673	4465
131	674	4435
132	675	4405
133	677	4375
134	680	4360
135	682	4337
136	684	4309
137	685	4282
138	687	4257
139	688	4231
140	690	4204
141	693	4189
142	696	4176
143	698	4154
144	700	4129
145	701	4104
146	703	4080
147	704	4056
148	711	4061
149	715	4052
150	716	4030
151	718	4007
152	719	3984
153	721	3961
154	725	3952
155	727	3933
156	728	3912
157	730	3893
158	741	3922
159	743	3902
160	744	3879
161	746	3862
162	748	3843
163	756	3853
164	758	3837
165	759	3818
166	761	3797
167	763	3779
168	764	3758
169	767	3745
170	769	3730
171	770	3711
172	772	3692
173	774	3676
174	782	3690
175	784	3674
176	786	3654
177	787	3635
178	788	3617
179	790	3600
180	795	3599
181	797	3585
182	800	3571
183	801	3554
184	802	3536
185	804	3520
186	805	3502
187	811	3506
188	813	3491
189	815	3475
190	816	3459
191	818	3443
192	819	3427
193	824	3424
194	828	3420
195	830	3405
196	832	3391
197	833	3378
198	835	3364
199	841	3364
200	843	3354
201	845	3339
202	846	3324
203	847	3308
204	849	3294
205	857	3305
206	859	3294
207	861	3280
208	863	3267
209	866	3261
210	874	3270
211	876	3259
212	889	3286
213	892	3277
214	897	3275
215	901	3272
216	903	3261
217	905	3249
218	907	3236
219	909	3222
220	910	3210
221	912	3197
222	923	3219
223	925	3207
224	928	3199
225	940	3222
226	943	3213
227	946	3204
228	952	3206
229	954	3195
230	956	3183
231	964	3191
232	968	3187
233	970	3175
234	972	3164
235	982	3181
236	985	3171
237	987	3160
238	988	3148
239	999	3164
240	1000	3152
241	1003	3142
242	1005	3131
243	1008	3125
244	1010	3115
245	1012	3103
246	1014	3091
247	1015	3080
248	1017	3069
249	1020	3062
250	1022	3051
251	1024	3040
252	1026	3029
253	1028	3019
254	1036	3028
255	1038	3017
256	1039	3005
257	1040	2993
258	1042	2981
259	1044	2973
260	1047	2965
261	1049	2957
262	1051	2946
263	1052	2935
264	1054	2923
265	1055	2912
266	1061	2913
267	1064	2907
268	1066	2897
269	1067	2886
270	1068	2875
271	1070	2865
272	1074	2861
273	1078	2857
274	1080	2849
275	1082	2840
276	1084	2830
277	1086	2820
278	1091	2820
279	1094	2815
280	1096	2805
281	1098	2795
282	1099	2785
283	1102	2779
284	1104	2769
285	1105	2759
286	1106	2750
287	1108	2740
288	1115	2744
289	1118	2737
290	1119	2727
291	1120	2717
292	1121	2707
293	1124	2699
294	1130	2701
295	1133	2695
296	1134	2686
297	1136	2677
298	1138	2668
299	1139	2658
300	1145	2660
301	1147	2652
302	1149	2643
303	1150	2634
304	1151	2624
305	1153	2615
306	1161	2622
307	1163	2615
308	1165	2605
309	1166	2596
310	1167	2587
311	1169	2578
312	1174	2578
313	1178	2574
314	1180	2566
315	1181	2558
316	1183	2550
317	1185	2542
318	1191	2543
319	1194	2537
320	1195	2528
321	1196	2520
322	1198	2512
323	1199	2503
324	1204	2500
325	1207	2497
326	1209	2489
327	1211	2481
328	1212	2472
329	1213	2464
330	1215	2456
331	1220	2455
332	1223	2449
333	1224	2442
334	1226	2434
335	1227	2425
336	1228	2417
337	1230	2409
338	1234	2406
339	1236	2400
340	1238	2393
341	1240	2386
342	1241	2378
343	1243	2371
344	1245	2364
345	1250	2363
346	1253	2358
347	1254	2350
348	1255	2342
349	1257	2334
350	1258	2326
351	1260	2320
352	1263	2316
353	1265	2309
354	1276	2319
355	1278	2313
356	1280	2305
357	1281	2298
358	1283	2291
359	1284	2283
360	1291	2286
361	1294	2280
362	1295	2273
363	1297	2266
364	1298	2259
365	1300	2252
366	1303	2248
367	1305	2241
368	1306	2234
369	1308	2227
370	1309	2220
371	1310	2213
372	1312	2206
373	1315	2201
374	1316	2194
375	1318	2187
376	1319	2180
377	1321	2173
378	1322	2166
379	1323	2159
380	1326	2155
381	1328	2149
382	1330	2142
383	1331	2135
384	1332	2129
385	1334	2122
386	1338	2120
387	1342	2116
388	1344	2111
389	1345	2104
390	1347	2098
391	1348	2091
392	1350	2085
393	1359	2091
394	1361	2084
395	1362	2078
396	1363	2071
397	1365	2065
398	1369	2062
399	1372	2059
400	1375	2054
401	1376	2048
402	1379	2043
403	1381	2037
404	1384	2033
405	1386	2029
406	1388	2023
407	1390	2016
408	1391	2010
409	1392	2004
410	1394	1998
411	1395	1991
412	1400	1990
413	1402	1985
414	1404	1979
415	1405	1973
416	1407	1967
417	1408	1961
418	1410	1955
419	1411	1949
420	1419	1951
421	1421	1946
422	1422	1940
423	1423	1934
424	1425	1928
425	1426	1921
426	1431	1920
427	1434	1917
428	1436	1912
429	1438	1906
430	1440	1902
431	1445	1900
432	1448	1896
433	1450	1891
434	1452	1886
435	1455	1882
436	1456	1877
437	1464	1878
438	1466	1873
439	1467	1867
440	1468	1861
441	1470	1856
442	1471	1850
443	1483	1858
444	1485	1853
445	1487	1847
446	1488	1841
447	1494	1841
448	1496	1836
449	1498	1831
450	1500	1826
451	1502	1821
452	1504	1816
453	1505	1810
454	1507	1805
455	1508	1800
456	1510	1794
457	1517	1795
458	1518	1790
459	1520	1785
460	1521	1779
461	1523	1773
462	1524	1768
463	1525	1762
464	1536	1768
465	1538	1762
466	1540	1757
467	1541	1752
